,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
534,AK,99.0,area_code_510,no,no,0.0,238.4,96.0,40.53,246.5,130.0,20.95,198.4,117,8.93,12.4,4.0,3.35,3.0,no
535,LA,179.0,area_code_408,no,no,0.0,219.2,92.0,37.26,149.4,125.0,12.7,244.7,104,11.01,6.1,5.0,1.65,0.0,no
536,CA,37.0,area_code_415,no,no,0.0,191.1,69.0,32.49,129.2,113.0,10.98,207.5,117,9.34,12.9,1.0,3.48,0.0,no
537,NM,118.0,area_code_510,no,no,0.0,205.2,115.0,34.88,184.8,137.0,15.71,176.1,115,7.92,7.0,6.0,1.89,0.0,no
538,WI,142.0,area_code_510,no,no,0.0,232.1,102.0,39.46,168.2,110.0,14.3,197.3,120,8.88,9.9,3.0,2.67,1.0,no
539,MI,,area_code_510,no,yes,,,,,,,,,136,,,,,,no
540,AZ,140.0,area_code_408,no,no,0.0,173.2,91.0,29.44,196.8,106.0,16.73,209.3,128,9.42,11.2,5.0,3.02,3.0,no
541,HI,,area_code_408,no,yes,,,,,,,,,85,,,,,,no
542,AL,141.0,area_code_408,no,no,0.0,2044.7,90.0,41.28,1166.1,80.0,19.9,211.5,104,9.52,6.0,3.0,1.62,5.0,no
543,RI,70.0,area_code_415,no,no,0.0,2034.7,96.0,22.9,1167.9,90.0,20.05,260.2,113,11.71,7.6,6.0,2.05,3.0,no
544,IL,16.0,area_code_415,yes,no,0.0,110.0,91.0,18.7,147.3,75.0,12.52,190.5,73,8.57,6.4,,1.73,0.0,no
545,ND,105.0,area_code_415,no,yes,23.0,2037.6,85.0,32.9,1152.2,90.0,18.72,272.4,111,12.26,8.5,5.0,2.3,0.0,no
546,TX,53.0,area_code_415,no,no,0.0,2177.8,113.0,20.35,1121.7,84.0,16.12,256.2,108,11.53,12.9,7.0,3.48,2.0,no
547,MD,111.0,area_code_510,no,no,0.0,123.1,88.0,20.93,213.9,84.0,18.18,184.9,88,8.32,12.0,2.0,3.24,5.0,yes
548,KS,110.0,area_code_415,yes,yes,27.0,267.9,103.0,45.54,263.3,74.0,22.38,178.1,106,8.01,8.3,2.0,2.24,1.0,yes
549,CO,,area_code_408,no,yes,,,,,,,,,77,,,,,,yes
550,MD,71.0,area_code_415,no,yes,-7.0,115.4,90.0,19.62,217.4,78.0,18.48,239.9,102,10.8,13.1,4.0,3.54,1.0,no
551,CO,107.0,area_code_415,no,no,0.0,167.3,100.0,28.44,163.9,79.0,13.93,185.9,100,8.37,6.7,5.0,1.81,2.0,no
552,UT,44.0,area_code_415,no,no,0.0,202.6,89.0,34.44,163.0,96.0,13.86,268.1,151,12.06,8.3,3.0,2.24,0.0,no
553,OH,73.0,area_code_415,no,no,0.0,183.4,80.0,31.18,242.0,115.0,20.57,201.4,100,9.06,7.5,3.0,2.03,4.0,no
554,FL,153.0,area_code_415,no,no,0.0,228.9,102.0,38.91,160.7,136.0,13.66,203.1,109,9.14,12.5,2.0,3.38,0.0,no
555,IA,,area_code_408,no,no,,,,,,,,,77,,,,,,no
556,VA,,area_code_510,no,yes,33.0,189.7,66.0,32.25,212.8,65.0,18.09,165.7,108,7.46,10.0,5.0,2.7,1.0,no
557,OK,127.0,area_code_510,no,yes,27.0,2.6,113.0,0.44,,102.0,21.59,242.7,156,10.92,9.2,5.0,2.48,3.0,no
558,AL,102.0,area_code_415,no,no,0.0,123.1,106.0,20.93,182.0,102.0,15.47,244.6,75,11.01,12.6,7.0,3.4,2.0,no
559,NE,127.0,area_code_510,yes,no,0.0,180.9,114.0,30.75,209.5,118.0,17.81,249.9,105,11.25,7.4,4.0,2.0,2.0,no
560,AR,54.0,area_code_415,no,no,0.0,247.5,85.0,42.08,225.4,93.0,19.16,244.3,132,10.99,10.2,2.0,2.75,2.0,yes
561,CA,,area_code_415,no,yes,31.0,109.6,108.0,18.63,249.3,119.0,21.19,321.2,101,14.45,8.3,4.0,2.24,4.0,yes
562,VT,67.0,area_code_408,no,no,0.0,260.4,107.0,44.27,208.2,104.0,17.7,207.9,115,9.36,10.0,2.0,2.7,6.0,no
563,AR,,area_code_510,no,no,0.0,172.7,95.0,29.36,139.1,90.0,11.82,174.3,99,7.84,11.7,1.0,3.16,2.0,no
564,HI,79.0,area_code_415,no,no,0.0,41.9,124.0,7.12,211.0,95.0,17.94,237.9,55,10.71,11.4,5.0,3.08,1.0,no
565,WV,88.0,area_code_510,no,no,0.0,131.5,99.0,22.36,174.8,128.0,14.86,184.2,83,8.29,7.9,2.0,2.13,5.0,yes
566,KS,84.0,area_code_415,no,no,0.0,225.9,86.0,38.4,275.6,105.0,23.43,201.4,108,9.06,14.3,3.0,3.86,3.0,yes
567,ME,80.0,area_code_408,no,yes,31.0,166.4,92.0,28.29,238.3,74.0,20.26,150.7,84,6.78,10.7,4.0,2.89,4.0,no
568,UT,61.0,area_code_510,yes,no,0.0,78.2,103.0,13.29,195.9,149.0,16.65,108.0,100,4.86,10.1,6.0,2.73,2.0,no
569,WV,124.0,area_code_415,no,no,0.0,312.0,112.0,53.04,180.0,109.0,15.3,168.6,94,7.59,12.8,4.0,3.46,1.0,yes
570,NM,119.0,area_code_510,no,yes,23.0,154.0,114.0,26.18,278.0,137.0,23.63,228.4,112,10.28,11.8,4.0,3.19,2.0,no
571,RI,46.0,area_code_408,no,no,0.0,40.4,105.0,6.87,172.4,83.0,14.65,145.1,89,6.53,9.0,2.0,2.43,2.0,no
572,NH,148.0,area_code_408,no,no,0.0,17.6,121.0,2.99,161.7,125.0,13.74,203.1,82,9.14,10.6,6.0,2.86,1.0,no
573,MO,,area_code_510,no,no,,,,,,,,,109,,,,,,no
574,IN,72.0,area_code_510,no,no,0.0,287.4,116.0,48.86,235.3,126.0,20.0,292.1,114,13.14,5.0,3.0,1.35,4.0,yes
575,RI,95.0,area_code_510,no,yes,-8.0,129.5,106.0,22.02,248.9,90.0,21.16,268.0,115,12.06,11.9,3.0,3.21,1.0,no
576,OK,57.0,area_code_408,no,yes,25.0,2062.3,94.0,30.06,1127.0,75.0,16.58,213.5,116,9.61,8.3,4.0,2.24,0.0,no
577,CO,157.0,area_code_415,no,no,0.0,196.0,74.0,33.32,,96.0,18.14,196.8,81,8.86,7.9,6.0,2.13,1.0,no
578,OH,146.0,area_code_408,no,yes,31.0,202.5,91.0,34.43,241.4,108.0,20.52,169.6,77,7.63,7.8,2.0,2.11,1.0,no
579,SC,104.0,area_code_415,no,no,0.0,109.1,141.0,18.55,187.1,140.0,15.9,216.6,100,9.75,10.0,4.0,2.7,3.0,no
580,NV,81.0,area_code_415,no,yes,28.0,167.9,147.0,28.54,190.7,105.0,16.21,193.0,103,8.69,9.2,6.0,2.48,4.0,yes
581,NV,-53.0,area_code_415,no,no,0.0,168.8,97.0,28.7,220.3,87.0,18.73,154.3,113,6.94,10.9,2.0,2.94,0.0,no
582,AZ,,area_code_408,no,yes,31.0,167.6,139.0,28.49,113.0,118.0,9.61,246.9,121,11.11,12.2,6.0,3.29,1.0,no
583,SD,30.0,area_code_415,no,no,0.0,2075.3,107.0,42.06,1107.9,76.0,14.95,287.4,90,12.93,11.3,2.0,3.05,0.0,no
584,SC,100.0,area_code_510,no,no,0.0,115.9,87.0,19.7,111.3,56.0,9.46,170.2,77,7.66,7.1,4.0,1.92,1.0,no
585,MA,103.0,area_code_415,no,no,0.0,185.0,117.0,31.45,223.3,94.0,18.98,222.8,91,10.03,12.6,2.0,3.4,2.0,no
586,OH,107.0,area_code_415,no,yes,26.0,161.6,123.0,27.47,195.5,103.0,16.62,254.4,103,11.45,13.7,3.0,3.7,1.0,no
587,NV,42.0,area_code_415,no,no,0.0,2050.0,106.0,51.66,1164.2,54.0,19.74,147.1,76,6.62,5.8,3.0,1.57,1.0,yes
588,SD,,area_code_408,no,no,0.0,163.6,88.0,27.81,283.4,93.0,24.09,262.1,108,11.79,8.6,9.0,2.32,0.0,no
589,ME,149.0,area_code_415,no,yes,18.0,148.5,106.0,25.25,114.5,106.0,9.73,178.3,98,8.02,6.5,4.0,1.76,0.0,no
590,MI,102.0,area_code_510,no,no,-1.0,102.6,89.0,17.44,246.0,77.0,20.91,170.5,140,7.67,9.1,4.0,2.46,2.0,no
591,IN,114.0,area_code_408,no,no,0.0,203.8,85.0,34.65,87.8,110.0,7.46,166.2,122,7.48,11.7,4.0,3.16,1.0,no
592,AR,156.0,area_code_415,no,no,0.0,178.8,94.0,30.4,178.4,97.0,15.16,169.2,77,7.61,7.5,3.0,2.03,1.0,no
593,ID,87.0,area_code_415,no,no,0.0,156.8,93.0,26.66,215.8,68.0,18.34,223.3,77,10.05,7.6,6.0,2.05,1.0,no
594,NJ,153.0,area_code_415,no,no,0.0,193.8,90.0,32.95,195.3,121.0,16.6,182.7,108,8.22,8.5,3.0,2.3,1.0,no
595,WV,70.0,area_code_415,no,no,0.0,214.8,87.0,36.52,131.0,114.0,11.14,216.9,104,9.76,9.4,3.0,2.54,3.0,no
596,AZ,,area_code_415,no,no,,,,,,,,,91,,,,,,no
597,AK,177.0,area_code_415,yes,no,-2.0,248.7,118.0,42.28,172.3,73.0,14.65,191.9,87,8.64,11.3,2.0,3.05,1.0,yes
598,MN,124.0,area_code_510,yes,no,0.0,157.8,71.0,26.83,,114.0,17.27,168.7,82,7.59,10.0,2.0,2.7,3.0,yes
599,AR,86.0,area_code_408,no,yes,16.0,145.7,88.0,24.77,191.0,129.0,16.24,215.5,82,9.7,11.3,7.0,3.05,0.0,no
600,ID,82.0,area_code_510,no,yes,34.0,232.6,121.0,39.54,153.2,115.0,13.02,286.7,77,12.9,4.7,3.0,1.27,3.0,no
601,ID,173.0,area_code_510,no,yes,21.0,232.4,96.0,39.51,,118.0,18.01,273.0,102,12.29,5.0,5.0,1.35,3.0,no
602,IN,86.0,area_code_510,no,no,0.0,2022.4,96.0,36.77,1198.3,77.0,22.64,214.0,110,9.63,4.5,3.0,1.22,0.0,no
603,HI,99.0,area_code_415,no,no,0.0,124.6,90.0,21.18,146.4,70.0,12.44,169.4,95,7.62,10.5,6.0,2.84,1.0,no
604,MD,129.0,area_code_415,no,yes,34.0,204.5,79.0,34.77,132.8,113.0,11.29,190.1,117,8.55,14.8,9.0,4.0,2.0,no
605,ND,27.0,area_code_415,no,no,0.0,227.4,67.0,38.66,248.0,115.0,21.08,61.4,109,2.76,7.8,6.0,2.11,1.0,no
606,NC,64.0,area_code_408,no,yes,19.0,1975.9,106.0,30.62,1059.5,92.0,10.84,237.4,118,10.68,7.5,3.0,2.03,0.0,no
607,WV,68.0,area_code_415,no,no,0.0,2007.7,57.0,39.29,1085.4,55.0,13.04,191.3,123,8.61,9.6,4.0,2.59,3.0,no
608,OH,95.0,area_code_415,no,yes,23.0,160.3,87.0,27.25,202.4,101.0,17.2,191.1,122,8.6,7.4,3.0,2.0,0.0,no
609,VT,48.0,area_code_510,no,no,0.0,188.4,63.0,32.03,165.9,89.0,14.1,205.7,71,9.26,13.2,2.0,3.56,1.0,no
610,WA,119.0,area_code_415,no,yes,26.0,161.3,97.0,27.42,250.3,110.0,21.28,142.4,92,6.41,6.6,8.0,1.78,1.0,no
611,OK,110.0,area_code_510,no,no,0.0,2040.6,127.0,31.96,1022.5,118.0,7.69,150.3,64,6.76,15.3,3.0,4.13,3.0,no
612,NJ,95.0,area_code_415,no,yes,22.0,40.9,126.0,6.95,133.4,90.0,11.34,264.2,91,11.89,11.9,7.0,3.21,0.0,no
613,MA,102.0,area_code_510,yes,no,0.0,233.8,103.0,39.75,221.6,131.0,18.84,146.9,106,6.61,12.8,3.0,3.46,0.0,no
614,HI,115.0,area_code_415,no,yes,33.0,145.0,72.0,24.65,194.5,157.0,16.53,242.3,138,10.9,14.2,3.0,3.83,2.0,no
615,WV,,area_code_415,no,no,0.0,180.0,100.0,30.6,229.0,103.0,19.47,139.4,105,6.27,7.8,8.0,2.11,3.0,no
616,ND,84.0,area_code_510,no,no,0.0,226.9,144.0,38.57,201.6,122.0,17.14,130.2,121,5.86,13.2,5.0,3.56,2.0,no
617,ME,177.0,area_code_415,no,no,0.0,1999.2,106.0,39.58,1107.2,97.0,14.89,212.2,77,9.55,12.5,7.0,3.38,2.0,no
618,ID,82.0,area_code_408,no,no,0.0,101.0,93.0,17.17,155.6,104.0,13.23,304.4,93,13.7,13.3,2.0,3.59,0.0,no
619,ME,36.0,area_code_510,yes,yes,42.0,196.8,89.0,33.46,254.9,122.0,21.67,138.3,126,6.22,20.0,6.0,5.4,0.0,yes
620,DE,105.0,area_code_415,yes,no,0.0,150.0,106.0,25.5,293.8,123.0,24.97,250.7,65,11.28,10.3,7.0,2.78,3.0,no
621,MO,98.0,area_code_415,no,no,-2.0,221.2,80.0,37.6,213.6,104.0,18.16,291.8,89,13.13,11.9,3.0,3.21,4.0,no
622,MS,102.0,area_code_510,yes,no,0.0,2027.0,81.0,38.11,1175.3,90.0,20.68,147.8,66,6.65,12.0,8.0,3.24,3.0,no
623,LA,106.0,area_code_408,no,no,0.0,2185.1,120.0,37.52,1202.2,95.0,22.97,121.6,113,5.47,8.7,5.0,2.35,1.0,no
624,OR,120.0,area_code_415,no,no,0.0,252.0,120.0,42.84,150.2,106.0,12.77,151.8,96,6.83,9.6,1.0,2.59,2.0,no
625,MS,118.0,area_code_415,no,yes,26.0,1977.6,114.0,29.04,1131.5,125.0,16.96,169.7,98,7.64,9.6,5.0,2.59,5.0,yes
626,IL,179.0,area_code_408,no,no,0.0,234.5,134.0,39.87,164.2,94.0,13.96,191.4,72,8.61,6.1,4.0,1.65,1.0,no
627,ID,99.0,area_code_408,no,no,0.0,159.7,83.0,27.15,155.4,121.0,13.21,255.7,114,11.51,8.4,3.0,2.27,1.0,no
628,OR,95.0,area_code_415,no,no,0.0,269.0,120.0,45.73,233.7,120.0,19.86,179.3,61,8.07,7.3,4.0,1.97,2.0,yes
629,VA,11.0,area_code_408,no,yes,24.0,131.5,98.0,22.36,230.2,111.0,19.57,283.7,87,12.77,10.0,3.0,2.7,2.0,no
630,ND,147.0,area_code_408,yes,yes,35.0,157.5,109.0,26.78,189.6,67.0,16.12,227.0,76,10.22,11.1,2.0,3.0,3.0,yes
631,NY,126.0,area_code_415,yes,no,-2.0,239.7,87.0,40.75,281.7,92.0,23.94,183.5,113,8.26,11.4,1.0,3.08,1.0,yes
632,MS,126.0,area_code_415,no,no,0.0,256.5,112.0,43.61,199.5,90.0,16.96,188.3,122,8.47,7.0,5.0,1.89,3.0,no
633,TX,,area_code_415,no,no,0.0,203.3,108.0,34.56,259.9,66.0,22.09,115.9,103,5.22,7.8,2.0,2.11,3.0,no
634,ID,170.0,area_code_510,no,yes,37.0,178.1,130.0,30.28,242.8,103.0,20.64,243.0,93,10.93,13.0,4.0,3.51,0.0,no
635,NM,94.0,area_code_415,no,no,-3.0,108.0,79.0,18.36,241.9,152.0,20.56,252.1,92,11.34,10.4,3.0,2.81,3.0,no
636,NC,115.0,area_code_510,yes,no,0.0,2078.3,69.0,42.72,1184.5,96.0,21.46,118.3,112,5.32,9.9,1.0,2.67,3.0,yes
637,AZ,95.0,area_code_408,no,no,0.0,238.1,65.0,40.48,187.2,98.0,15.91,190.0,115,8.55,11.8,4.0,3.19,4.0,no
638,VT,109.0,area_code_408,no,no,0.0,222.2,113.0,37.77,218.5,122.0,18.57,266.0,88,11.97,10.9,5.0,2.94,1.0,no
639,NC,128.0,area_code_510,no,no,0.0,187.3,84.0,31.84,270.8,95.0,23.02,206.4,68,9.29,10.1,5.0,2.73,1.0,no
640,AK,97.0,area_code_415,no,yes,24.0,176.1,109.0,29.94,159.4,81.0,13.55,269.1,94,12.11,12.1,9.0,3.27,0.0,no
641,CT,146.0,area_code_408,no,yes,23.0,149.6,96.0,25.43,239.8,124.0,20.38,293.5,135,13.21,7.4,4.0,2.0,2.0,no
642,RI,114.0,area_code_510,no,yes,28.0,2095.1,94.0,38.39,1125.0,117.0,16.41,232.4,100,10.46,8.4,9.0,2.27,4.0,no
643,MN,53.0,area_code_415,no,no,0.0,164.1,106.0,27.9,206.0,56.0,17.51,194.7,124,8.76,11.4,2.0,3.08,1.0,no
644,CA,75.0,area_code_510,no,yes,38.0,163.6,132.0,27.81,146.7,113.0,12.47,345.8,115,15.56,13.1,3.0,3.54,3.0,no
645,MA,86.0,area_code_510,no,no,0.0,176.3,79.0,29.97,259.2,97.0,22.03,287.4,78,12.93,6.2,,1.67,0.0,no
646,OK,155.0,area_code_415,no,yes,23.0,243.9,112.0,41.46,133.0,106.0,11.31,213.7,123,9.62,13.4,11.0,3.62,2.0,no
647,TN,3.0,area_code_510,yes,no,0.0,161.0,96.0,27.37,244.9,82.0,20.82,180.8,103,8.14,7.7,6.0,2.08,1.0,no
648,IA,126.0,area_code_408,no,yes,27.0,186.2,78.0,31.65,189.6,83.0,16.12,76.5,139,3.44,9.6,3.0,2.59,2.0,no
649,IN,100.0,area_code_415,no,yes,32.0,125.2,123.0,21.28,230.9,101.0,19.63,192.0,106,8.64,12.6,9.0,3.4,3.0,no
650,ME,57.0,area_code_415,no,yes,33.0,193.4,105.0,32.88,231.6,79.0,19.69,226.2,90,10.18,11.1,11.0,3.0,2.0,no
651,IL,138.0,area_code_408,yes,no,0.0,268.4,81.0,45.63,174.4,115.0,14.82,193.5,96,8.71,11.6,4.0,3.13,1.0,no
652,ME,137.0,area_code_510,no,no,0.0,2016.6,79.0,18.79,1155.2,111.0,18.97,169.5,64,7.63,10.5,3.0,2.84,3.0,no
653,AK,110.0,area_code_415,no,no,0.0,148.4,95.0,25.23,193.8,98.0,16.47,206.0,106,9.27,6.9,6.0,1.86,0.0,no
654,NE,67.0,area_code_415,no,yes,41.0,174.7,86.0,29.7,160.6,93.0,13.65,155.3,108,6.99,13.4,1.0,3.62,0.0,no
655,WV,,area_code_415,no,no,0.0,85.9,113.0,14.6,226.7,91.0,19.27,279.6,110,12.58,15.6,16.0,4.21,0.0,no
656,MI,87.0,area_code_415,no,no,0.0,198.3,80.0,33.71,187.0,89.0,15.9,133.5,96,6.01,16.6,4.0,4.48,2.0,no
657,MS,111.0,area_code_415,no,yes,36.0,96.8,123.0,16.46,170.6,105.0,14.5,166.0,85,7.47,13.4,4.0,3.62,2.0,no
658,FL,102.0,area_code_408,no,yes,29.0,214.7,86.0,36.5,314.3,109.0,26.72,280.2,110,12.61,14.3,2.0,3.86,0.0,no
659,RI,75.0,area_code_415,no,no,0.0,1982.4,91.0,32.39,1110.4,75.0,15.16,162.4,113,7.31,13.1,5.0,3.54,1.0,no
660,WI,,area_code_415,yes,no,,,,,,,,,108,,,,,,no
661,VA,77.0,area_code_510,no,no,0.0,144.9,136.0,24.63,151.3,115.0,12.86,252.4,73,11.36,12.3,3.0,3.32,2.0,no
662,IN,131.0,area_code_408,no,no,0.0,240.9,108.0,40.95,167.4,91.0,14.23,322.2,109,14.5,14.7,8.0,3.97,3.0,no
663,AL,61.0,area_code_415,no,yes,20.0,254.4,133.0,43.25,161.7,96.0,13.74,251.4,91,11.31,10.5,4.0,2.84,0.0,no
664,NV,94.0,area_code_408,yes,no,0.0,89.5,94.0,15.22,339.9,106.0,28.89,172.9,76,7.78,7.9,1.0,2.13,1.0,yes
665,MN,-59.0,area_code_408,no,yes,32.0,211.9,120.0,36.02,202.9,136.0,17.25,213.5,95,9.61,8.8,5.0,2.38,1.0,no
666,VT,122.0,area_code_415,no,no,0.0,136.7,115.0,23.24,243.1,137.0,20.66,188.9,110,8.5,8.6,4.0,2.32,0.0,no
667,AL,76.0,area_code_415,no,no,0.0,179.2,85.0,30.46,222.9,66.0,18.95,188.2,113,8.47,12.4,,3.35,0.0,no
668,RI,121.0,area_code_408,no,no,0.0,170.4,108.0,28.97,350.5,68.0,29.79,297.0,87,13.37,11.2,3.0,3.02,0.0,yes
669,MN,139.0,area_code_510,no,no,0.0,134.4,106.0,22.85,211.3,98.0,17.96,193.6,125,8.71,10.2,2.0,2.75,5.0,yes
670,UT,49.0,area_code_415,no,no,0.0,266.3,90.0,45.27,207.8,117.0,17.66,205.0,98,9.23,14.0,2.0,3.78,2.0,yes
671,NM,232.0,area_code_408,no,no,0.0,2055.3,104.0,28.15,1127.9,115.0,16.65,118.3,77,5.32,11.8,3.0,3.19,1.0,no
672,OH,119.0,area_code_415,no,yes,35.0,217.1,92.0,36.91,220.8,134.0,18.77,249.5,93,11.23,8.0,5.0,2.16,2.0,no
673,WY,,area_code_415,no,no,,,,,,,,,96,,,,,,no
674,PA,101.0,area_code_415,no,no,0.0,206.6,105.0,35.12,224.9,117.0,19.12,249.9,100,11.25,14.6,3.0,3.94,0.0,no
675,IL,142.0,area_code_415,no,no,0.0,84.8,95.0,14.42,136.7,63.0,11.62,250.5,148,11.27,14.2,,3.83,2.0,no
676,MS,,area_code_415,no,no,0.0,217.3,91.0,36.94,216.1,95.0,18.37,148.1,76,6.66,11.3,3.0,3.05,2.0,no
677,WV,,area_code_510,yes,yes,41.0,146.8,128.0,24.96,285.6,96.0,24.28,213.6,80,9.61,4.3,2.0,1.16,1.0,yes
678,MN,50.0,area_code_415,no,no,0.0,157.1,90.0,26.71,223.3,72.0,18.98,181.4,111,8.16,6.1,2.0,1.65,1.0,no
679,ID,118.0,area_code_415,no,no,-1.0,140.4,112.0,23.87,187.1,60.0,15.9,207.9,155,9.36,7.9,1.0,2.13,0.0,no
680,AL,92.0,area_code_408,no,yes,38.0,242.2,96.0,41.17,159.7,144.0,13.57,210.0,108,9.45,8.9,1.0,2.4,1.0,no
681,ND,132.0,area_code_415,no,yes,31.0,174.5,101.0,29.67,245.6,105.0,20.88,172.8,76,7.78,10.3,9.0,2.78,1.0,no
682,DE,,area_code_415,no,no,0.0,254.8,85.0,43.32,143.4,80.0,12.19,153.9,102,6.93,15.0,7.0,4.05,2.0,no
683,CA,103.0,area_code_415,no,yes,18.0,149.9,84.0,25.48,170.9,84.0,14.53,171.5,112,7.72,11.5,7.0,3.11,0.0,yes
684,NY,,area_code_408,yes,no,0.0,122.3,83.0,20.79,118.8,94.0,10.1,147.9,95,6.66,13.7,3.0,3.7,3.0,yes
685,MO,109.0,area_code_415,no,no,0.0,200.1,72.0,34.02,300.9,120.0,25.58,236.0,68,10.62,11.9,5.0,3.21,0.0,no
686,VA,113.0,area_code_408,no,yes,34.0,2020.6,63.0,7.63,1066.2,82.0,11.41,168.4,118,7.58,13.3,3.0,3.59,1.0,no
687,DC,217.0,area_code_415,no,no,0.0,123.7,138.0,21.03,248.5,105.0,21.12,269.6,78,12.13,13.3,4.0,3.59,0.0,no
688,NC,,area_code_510,no,no,0.0,165.7,94.0,28.17,257.4,80.0,21.88,170.8,114,7.69,10.0,4.0,2.7,1.0,no
689,IL,76.0,area_code_510,no,no,0.0,186.1,96.0,31.64,211.6,100.0,17.99,230.6,100,10.38,8.0,4.0,2.16,0.0,no
690,AR,34.0,area_code_510,no,no,0.0,124.8,82.0,21.22,282.2,98.0,23.99,311.5,78,14.02,10.0,4.0,2.7,2.0,no
691,WY,34.0,area_code_408,no,no,0.0,128.8,80.0,21.9,,93.0,17.74,202.1,103,9.09,14.0,7.0,3.78,1.0,no
692,NM,174.0,area_code_415,no,no,0.0,239.2,72.0,40.66,188.5,124.0,16.02,105.6,116,4.75,8.8,3.0,2.38,1.0,no
693,NC,,area_code_510,no,no,0.0,145.0,76.0,24.65,240.7,112.0,20.46,197.1,134,8.87,7.1,4.0,1.92,3.0,no
694,CO,128.0,area_code_510,no,no,0.0,199.3,86.0,33.88,194.8,102.0,16.56,298.2,82,13.42,14.3,2.0,3.86,4.0,no
695,WA,56.0,area_code_415,no,yes,29.0,37.7,115.0,6.41,144.1,111.0,12.25,226.6,101,10.2,4.9,3.0,1.32,1.0,no
696,KY,104.0,area_code_415,no,no,0.0,130.5,77.0,22.19,131.2,117.0,11.15,264.7,63,11.91,13.0,6.0,3.51,0.0,no
697,DE,224.0,area_code_510,yes,no,0.0,171.5,99.0,29.16,,103.0,13.6,212.4,102,9.56,5.0,2.0,1.35,1.0,yes
698,NY,,area_code_415,no,yes,16.0,88.5,87.0,15.05,178.8,108.0,15.2,228.7,96,10.29,11.5,3.0,3.11,2.0,no
699,WA,166.0,area_code_408,no,no,0.0,1983.7,110.0,46.63,984.9,109.0,4.5,246.1,119,11.07,10.9,5.0,2.94,0.0,no
700,KS,110.0,area_code_415,yes,no,0.0,293.3,79.0,49.86,188.5,90.0,16.02,266.9,91,12.01,14.5,4.0,3.92,0.0,yes
701,RI,111.0,area_code_415,no,no,0.0,229.4,107.0,39.0,214.1,99.0,18.2,289.6,95,13.03,10.4,6.0,2.81,4.0,no
702,AK,132.0,area_code_510,no,no,0.0,181.1,121.0,30.79,314.4,109.0,26.72,246.7,81,11.1,4.2,9.0,1.13,2.0,no
703,CT,37.0,area_code_408,no,no,0.0,134.9,98.0,22.93,248.4,130.0,21.11,236.2,113,10.63,14.7,2.0,3.97,3.0,no
704,MI,128.0,area_code_415,no,no,0.0,179.4,94.0,30.5,270.4,92.0,22.98,191.0,88,8.59,7.9,4.0,2.13,0.0,no
705,IN,,area_code_408,no,no,,,,,,,,,120,,,,,,no
706,WI,87.0,area_code_415,no,no,0.0,238.0,97.0,40.46,164.5,97.0,13.98,282.5,132,12.71,10.6,6.0,2.86,2.0,no
707,ID,103.0,area_code_415,no,no,0.0,174.7,151.0,29.7,148.0,56.0,12.58,168.2,109,7.57,15.8,3.0,4.27,6.0,yes
708,CO,159.0,area_code_408,yes,no,0.0,2074.0,53.0,43.71,1244.2,127.0,26.54,183.0,82,8.24,8.8,6.0,2.38,1.0,yes
709,AR,109.0,area_code_510,no,no,0.0,170.7,101.0,29.02,240.2,82.0,20.42,119.0,112,5.36,11.4,4.0,3.08,2.0,no
710,KY,72.0,area_code_415,no,no,0.0,198.4,147.0,33.73,216.9,121.0,18.44,112.8,125,5.08,13.1,4.0,3.54,0.0,no
711,IA,44.0,area_code_415,no,no,0.0,308.6,139.0,52.46,150.8,94.0,12.82,198.7,66,8.94,7.3,3.0,1.97,4.0,yes
712,VA,,area_code_415,no,no,0.0,138.9,65.0,23.61,208.9,109.0,17.76,232.4,82,10.46,9.2,3.0,2.48,2.0,no
713,TX,139.0,area_code_510,yes,yes,31.0,203.5,82.0,34.6,200.3,72.0,17.03,214.0,112,9.63,13.4,6.0,3.62,1.0,yes
714,WI,,area_code_415,no,no,0.0,180.2,134.0,30.63,97.7,85.0,8.3,181.7,134,8.18,8.4,3.0,2.27,1.0,no
715,CO,121.0,area_code_408,yes,no,0.0,167.7,94.0,28.51,93.7,121.0,7.96,241.3,115,10.86,13.4,1.0,3.62,3.0,yes
716,WV,58.0,area_code_408,no,yes,39.0,211.9,40.0,36.02,274.4,76.0,23.32,210.5,139,9.47,5.4,4.0,1.46,1.0,no
717,RI,113.0,area_code_415,no,no,0.0,2125.8,130.0,15.4,1102.6,100.0,14.5,137.4,74,6.18,5.4,9.0,1.46,1.0,no
718,CO,,area_code_510,no,no,0.0,158.8,53.0,27.0,188.5,132.0,16.02,189.3,87,8.52,9.8,4.0,2.65,2.0,no
719,FL,159.0,area_code_415,no,yes,15.0,1950.3,102.0,19.36,1077.3,146.0,12.35,195.2,137,8.78,11.8,9.0,3.19,1.0,no
720,OR,,area_code_415,no,no,,,,,,,,,78,,,,,,no
721,LA,62.0,area_code_415,no,no,0.0,186.8,94.0,31.76,207.6,92.0,17.65,195.0,98,8.78,8.8,4.0,2.38,3.0,no
722,WY,-78.0,area_code_408,no,no,0.0,220.0,95.0,37.4,179.9,121.0,15.29,188.2,109,8.47,11.5,5.0,3.11,0.0,no
